Force (Newtons), Deflection (mm), Class
     1.150,      0.799, 1
     6.800,      1.507, 0
     1.150,      0.416, 0
     2.582,      1.866, 1
     1.150,      0.178, 0
    15.896,     12.127, 1
     7.067,      6.147, 1
     3.048,      1.339, 0
     2.044,      0.908, 0
     3.158,      2.899, 1
     3.270,      2.292, 1
     6.763,      5.185, 1
    11.983,      3.126, 0
    10.714,      3.403, 0
     1.150,      0.296, 0
    11.497,      4.828, 0
    11.802,      4.455, 0
     1.150,      1.102, 1
     1.150,      0.463, 0
     6.989,      4.156, 1
     3.712,      4.279, 1
     4.905,      1.791, 0
     1.150,      0.876, 1
     1.623,      0.609, 0
     9.159,      6.301, 1
     9.865,     10.409, 1
    14.078,      5.067, 0
     1.186,      0.560, 0
     1.150,      0.361, 0
     1.150,      0.850, 1
     1.150,      1.237, 1
     1.150,      0.977, 1
     2.853,      2.016, 1
     1.150,      1.176, 1
     8.404,      2.320, 0
    13.544,      3.135, 0
     5.880,      2.220, 0
     9.160,      5.284, 1
     2.728,      1.095, 0
     9.234,      3.953, 0
     3.361,      1.207, 0
     3.866,      2.285, 1
     1.150,      1.207, 1
     4.074,      0.752, 0
     1.393,      1.156, 1
     7.948,      2.501, 0
     1.228,      0.255, 0
     1.150,      0.487, 0
    15.446,     13.053, 1
    13.246,     11.852, 1
     1.150,      0.816, 1
     1.150,      0.837, 1
     5.351,      1.393, 0
    14.974,      3.659, 0
     3.836,      1.096, 0
     1.150,      0.435, 0
     2.783,      0.392, 0
     8.145,      7.414, 1
     2.248,      0.465, 0
     1.150,      1.623, 1
     4.163,      1.721, 0
     2.242,      1.149, 0
     8.711,      7.505, 1
     1.150,      0.357, 0
     5.060,      4.481, 1
     1.150,      0.397, 0
     4.761,      2.434, 0
    11.033,      4.032, 0
     7.433,      4.838, 1
     1.150,      1.051, 1
     7.511,      5.950, 1
     9.167,      4.423, 0
    11.813,      9.830, 1
     9.718,      5.509, 1
     4.449,      1.857, 0
     4.389,      1.862, 0
     5.273,      3.650, 1
     1.150,      0.517, 0
     1.150,      0.419, 0
     1.150,      1.175, 1
     1.150,      0.775, 1
    10.571,      8.652, 1
     4.396,      2.063, 0
     1.150,      0.819, 1
     5.192,      1.938, 0
     1.150,      0.657, 1
     8.353,      4.571, 0
     5.981,      2.779, 0
     4.353,      3.571, 1
    12.230,      9.040, 1
     5.774,      1.925, 0
     1.150,      1.098, 1
     1.150,      0.214, 0
    10.046,      4.137, 0
     6.404,      3.245, 0
     1.150,      0.514, 0
     8.340,      3.357, 0
     4.313,      1.418, 0
     2.325,      1.493, 1
     2.543,      0.661, 0
     7.025,      7.264, 1
    10.071,      4.653, 0
     1.150,      0.298, 0
     5.108,      1.484, 0
     4.542,      4.029, 1
     2.502,      1.012, 0
    13.622,      8.970, 1
     5.343,      3.621, 1
     2.566,      2.008, 1
     4.116,      2.459, 1
     9.878,     11.240, 1
     1.150,      1.062, 1
     1.720,      0.529, 0
     9.644,      7.465, 1
     3.280,      0.895, 0
    10.237,      3.384, 0
     4.344,      1.476, 0
     4.085,      1.271, 0
     1.150,      0.480, 0
     1.150,      0.460, 0
     8.552,      8.832, 1
     1.150,      0.384, 0
     1.150,      0.365, 0
    13.747,      3.394, 0
    12.195,      4.033, 0
     7.457,      4.611, 1
     3.552,      1.301, 0
     9.214,      4.864, 0
     8.308,      1.898, 0
     7.014,      2.374, 0
