ID,  Milk,PetFood,Veggies,Cereal,  Nuts,  Rice,  Meat,  Eggs,Yogurt, Chips,  Cola, Fruit
 1,     4,     5,     4,     7,     8,     3,     2,     5,     5,     5,     8,     0
 2,     8,     3,     9,     9,     5,     7,     2,     4,     7,     3,     4,     1
 3,    10,     3,     8,     9,     5,     8,     6,     4,     3,     3,     1,     4
 4,     9,     3,     9,    10,     5,     9,     6,     6,     6,     1,     2,     5
 5,     8,     4,     6,     8,     2,    10,     4,     6,     2,     3,     4,     6
 6,     8,     6,     9,     9,     0,     8,     4,     8,     7,     0,     3,     5
 7,     1,     5,    10,     5,     7,     9,     1,     2,    10,     1,     2,     8
 8,     9,     9,     8,     8,     4,     8,     6,     6,     2,     4,     3,     7
 9,     7,     2,     6,    10,     3,     8,     4,     6,     5,     2,     2,     6
10,     5,     5,     7,     7,     7,     1,     5,     6,     1,     3,    10,     2
11,     6,     6,     7,     9,     3,     6,     4,     4,     6,     1,     3,     5
12,     9,     4,     7,     9,     3,     7,     4,     6,     5,     1,     1,     7
13,     2,     4,    10,     8,     9,     7,     0,     2,    10,     2,     2,     6
14,     2,     5,     8,     6,     8,     5,     1,     0,    10,     2,     1,     6
15,     8,     7,     8,     8,     2,     8,     4,     7,     7,     1,     2,     6
16,     8,     7,     5,    10,     4,     7,     7,     6,     7,     3,     2,     6
17,     8,     4,     9,     9,     6,     7,     5,     6,     1,     1,     2,     4
18,     3,     3,     9,     6,     8,     8,     0,     1,     9,     1,     1,     8
19,     6,     2,     6,     8,     0,     8,     4,     6,     5,     4,     2,     6
20,     5,     4,    10,     6,     6,     7,     1,     1,     9,     4,     1,     8
21,     8,     6,     7,     7,     3,     6,     6,     9,     5,     0,     1,     6
22,     8,     5,     6,     8,     2,     8,     4,     3,     6,     2,     4,     3
23,     1,     6,     9,     8,     8,     6,     0,     4,     9,     2,     2,     7
24,     0,     6,     9,     7,     8,     6,     0,     1,     8,     3,     2,     5
25,     9,     5,     9,     9,     5,     8,     6,     5,     6,     3,     3,     6
26,    10,     5,     6,    10,     3,     7,     4,     5,     5,     3,     5,     5
27,     9,     4,     6,     9,     3,     6,     4,     7,     9,     1,     3,     6
28,     8,     6,     6,     9,     6,     7,     5,     7,     7,     1,     2,     5
29,     7,     3,    10,    10,     4,     6,     5,     1,     5,     4,     2,     3
30,     8,     6,     8,     7,     5,    10,     4,     4,     7,     2,     1,     3
31,     6,     5,     3,     8,     8,     5,     3,     8,     6,     4,     9,     1
32,     5,     8,     5,     7,     9,     2,     8,     6,     2,     6,     9,     3
33,     7,     9,     8,    10,     4,     9,     5,     6,     6,     1,     3,     5
34,     3,     6,     9,     5,     7,    10,     0,     0,     8,     1,     1,     6
35,     1,     3,     4,     7,     5,     1,     5,     5,     1,     8,     9,     1
36,     4,     3,    10,     5,     6,    10,     1,     2,     8,     2,     1,     4
37,     0,     8,     6,     5,     7,     3,     5,     3,     2,     7,    10,     0
38,     2,     5,    10,     8,     8,     8,     0,     2,    10,     2,     3,     4
39,     1,     6,     9,     5,     7,     8,     0,     3,     8,     5,     3,     9
40,     3,     7,    10,     6,     6,     6,     0,     3,    10,     2,     0,     8
41,     1,     2,    10,     5,     7,    10,     0,     4,     8,     1,     0,     8
42,     1,     5,    10,     7,     8,    10,     1,     1,    10,     1,     1,     8
43,    10,     7,     9,     8,     5,     7,     2,     6,     6,     1,     1,     5
44,     9,     6,     7,     9,     5,     6,     5,     8,     5,     1,     3,     4
45,     2,     5,    10,     6,     7,     9,     1,     1,    10,     3,     2,     9
46,     7,     5,     7,     7,     6,     2,     5,     5,     4,     6,     5,     2
47,     3,     4,    10,     7,     6,     9,     0,     4,     8,     1,     1,     9
48,     9,     5,     7,     9,     4,     9,     3,     8,     5,     2,     2,     6
49,     5,     7,     9,     6,     6,     8,     1,     1,     8,     3,     3,     8
50,     1,     2,     9,     5,     6,    10,     1,     0,     9,     3,     2,     6
51,    10,     5,     7,     9,     7,     8,     4,     6,     8,     2,     4,     5
52,     9,     5,     8,     9,     4,     8,     4,     9,     5,     3,     3,     6
53,     9,     4,     8,    10,     0,     7,     6,     9,     7,     1,     1,     5
54,     0,     4,    10,     9,     5,     8,     2,     1,     8,     0,     5,     9
55,     7,     4,     8,     9,     5,     7,     4,     4,     4,     2,     3,     4
56,    10,     6,     7,     9,     6,     9,     4,     4,     4,     0,     4,     5
57,     8,     3,     8,    10,     7,    10,     4,     7,     3,     1,     4,     7
58,     2,     4,    10,     6,     8,     9,     1,     2,     9,     1,     1,     9
59,     2,     5,     9,     9,     5,     5,     3,     1,     7,     1,     1,     4
60,     6,     5,    10,     5,     9,     5,     0,     1,     9,     2,     2,     5
61,     1,     6,     9,     4,     9,    10,     0,     0,    10,     1,     1,     9
62,     3,     7,    10,     7,     6,     6,     1,     2,     9,     3,     0,     8
63,     4,     7,    10,     6,     6,     7,     0,     2,     7,     3,     0,     6
64,     5,     5,     3,     9,     5,     3,     7,     6,     3,     4,    10,     3
65,     9,     3,     5,    10,     5,     9,     5,     7,     7,     2,     2,     5
66,     9,     5,     6,     9,     5,     7,     3,     5,     7,     2,     3,     5
67,     1,     5,     9,     6,     7,     7,     0,     1,    10,     2,     1,     7
68,    10,     3,     8,     9,     2,     7,     5,     6,     5,     1,     1,     6
69,     3,     4,     9,     4,     7,     9,     0,     1,     9,     2,     3,     6
70,     8,     4,     8,     9,     4,     9,     3,     7,     6,     4,     3,     4
71,     8,     5,     8,    10,     6,     8,     5,     6,     4,     4,     5,     3
72,     4,     3,     9,     4,     7,     8,     0,     3,     9,     1,     2,     9
73,     9,     4,     6,    10,     5,     5,     5,     7,     5,     1,     4,     3
74,     7,     5,     7,    10,     4,     9,     4,     7,     7,     2,     4,     6
75,     3,     5,    10,     5,     6,    10,     1,     0,     8,     0,     0,     6
76,     8,     6,     6,    10,     2,     5,     2,     7,     6,     2,     5,     3
77,     4,     6,     4,     7,     8,     3,     5,     5,     3,     7,     9,     2
78,    10,     4,     7,     9,     6,     5,     4,     6,     6,     2,     5,     3
79,     8,     2,     8,    10,     4,     9,     5,     6,     5,     3,     2,     5
80,    10,     5,    10,     8,     2,     5,     7,     6,     3,     2,     3,     5
81,     0,     4,     9,     4,    10,     7,     0,     1,     9,     1,     0,     8
82,    10,     7,     7,     9,     3,     5,     6,     7,     3,     2,     2,     5
83,     3,     8,    10,     4,     8,     8,     1,     0,     7,     2,     1,     9
84,     3,     3,    10,     6,     9,     8,     0,     2,     8,     2,     0,     8
85,     9,     5,     8,     9,     5,     7,     3,     6,     7,     0,     3,     4
86,     4,     7,     4,     9,     7,     3,     6,     6,     4,     6,     9,     2
87,     8,     5,     7,     8,     6,     9,     7,     4,     6,     5,     3,     6
88,     4,     4,     5,     7,     7,     2,     5,     6,     3,     6,     7,     3
89,     9,     3,     9,     9,     3,     8,     3,     5,     3,     3,     1,     7
90,     7,     4,     6,     8,     3,     6,     4,     3,     8,     2,     4,     5
91,     5,     7,     5,     8,     9,     3,     7,     8,     3,     7,     9,     1
92,    10,     3,     9,    10,     7,    10,     3,     7,     5,     0,     4,     3
93,     6,     3,     7,     9,     6,     7,     4,     7,     6,     3,     3,     4
94,     9,     3,     7,     9,     5,     5,     1,     7,     3,     1,     5,     5
95,     4,     4,     8,     8,     9,     9,     1,     1,     9,     0,     2,     4
96,     1,     6,     7,     4,     8,     8,     1,     2,     7,     1,     0,     7
97,     8,     7,     6,    10,     5,     8,     4,     8,     2,     3,     1,     3
98,    10,     4,     7,     9,     4,     6,     1,     6,     5,     1,     4,     5
99,     8,     4,     8,     9,     3,     8,     5,     5,     6,     3,     3,     4
100,     4,     4,    10,     6,     7,     5,     2,     1,     7,     1,     0,     6
101,     3,     5,     6,     7,     7,     3,     5,     4,     3,     7,     4,     2
102,     6,     4,     6,     8,     7,     6,     6,     4,     3,     1,     2,     4
103,     2,     5,    10,     5,     8,     8,     1,     2,     8,     2,     1,     8
104,     1,     7,     8,     5,     6,     9,     0,     2,     9,     5,     6,     8
105,     9,     6,     5,     9,     2,     9,     4,     5,     6,     3,     0,     3
106,     9,     2,     7,     9,     2,     9,     1,     5,     5,     0,     2,     8
107,    10,     5,     5,     8,     7,     4,     4,     9,     1,     0,     1,     3
108,     9,     3,     8,     9,     9,     6,     4,     6,     6,     2,     6,     4
109,     4,     8,     5,     7,     6,     2,     5,     6,     2,     5,     9,     2
110,     4,     4,    10,     8,     8,     8,     0,     1,     9,     3,     2,     7
111,     8,     2,    10,    10,     5,     8,     3,     7,     4,     1,     0,     5
112,    10,     5,     7,     8,     5,     6,     5,     8,     2,     1,     2,     7
113,     9,     6,     7,     9,     2,     7,     4,     7,     4,     2,     6,     5
114,     9,     6,     7,     8,     6,     8,     2,     8,     7,     2,     4,     5
115,     2,     4,     9,     6,     7,     7,     2,     1,     7,     1,     3,     4
116,     8,     3,     8,    10,     3,     6,     2,     5,     7,     2,     2,     6
117,     9,     3,     7,    10,     5,     8,     6,     7,     8,     3,     1,     1
118,     2,     6,    10,     6,     9,     7,     0,     4,     9,     1,     1,     8
119,     6,     6,     9,     9,     6,     8,     5,     4,     5,     6,     4,     8
